day	hour	value
1	1	14
1	2	3
1	3	6
1	4	3
1	5	6
1	6	2
1	7	1
1	8	10
1	9	33
1	10	23
1	11	21
1	12	21
1	13	28
1	14	33
1	15	37
1	16	38
1	17	40
1	18	49
1	19	48
1	20	48
1	21	38
1	22	22
1	23	6
1	24	3
2	1	2
2	2	1
2	3	3
2	4	0
2	5	1
2	6	3
2	7	5
2	8	10
2	9	26
2	10	18
2	11	21
2	12	36
2	13	45
2	14	50
2	15	47
2	16	46
2	17	52
2	18	77
2	19	77
2	20	94
2	21	97
2	22	77
2	23	41
2	24	20
3	1	3
3	2	2
3	3	2
3	4	2
3	5	3
3	6	6
3	7	9
3	8	18
3	9	25
3	10	25
3	11	24
3	12	33
3	13	52
3	14	57
3	15	50
3	16	35
3	17	50
3	18	54
3	19	73
3	20	76
3	21	65
3	22	41
3	23	24
3	24	10
4	1	11
4	2	7
4	3	7
4	4	7
4	5	1
4	6	5
4	7	5
4	8	15
4	9	28
4	10	25
4	11	30
4	12	46
4	13	64
4	14	59
4	15	57
4	16	55
4	17	62
4	18	88
4	19	77
4	20	69
4	21	52
4	22	38
4	23	25
4	24	15
5	1	3
5	2	5
5	3	5
5	4	5
5	5	0
5	6	4
5	7	7
5	8	12
5	9	29
5	10	26
5	11	14
5	12	31
5	13	57
5	14	58
5	15	51
5	16	70
5	17	69
5	18	88
5	19	82
5	20	82
5	21	78
5	22	46
5	23	26
5	24	12
6	1	5
6	2	5
6	3	4
6	4	6
6	5	5
6	6	7
6	7	4
6	8	11
6	9	19
6	10	32
6	11	50
6	12	86
6	13	107
6	14	147
6	15	155
6	16	141
6	17	142
6	18	115
6	19	116
6	20	90
6	21	85
6	22	55
6	23	35
6	24	24
7	1	7
7	2	4
7	3	4
7	4	1
7	5	1
7	6	1
7	7	1
7	8	2
7	9	7
7	10	17
7	11	33
7	12	55
7	13	68
7	14	83
7	15	91
7	16	87
7	17	103
7	18	102
7	19	95
7	20	88
7	21	62
7	22	42
7	23	24
7	24	14
